#utc,X_SUN[AU],Y_SUN[AU],Z_SUN[AU],Dist_SUN[AU],Sub-SolarLon[deg],Sub-SolarLat[deg],X_EARTH[AU],Y_EARTH[AU],Z_EARTH[AU],Dist_EARTH[AU],Sub-EarthLon[deg],Sub-EarthLat[deg],PhaseAngle[deg]
2018-06-30T00:00:00,0.925108,0.319207,-0.120567,0.986030,19.037,-7.024,1.507722,1.152266,-0.127411,1.901888,37.390,-3.841,18.5418
2018-06-30T12:00:00,-0.970956,0.127818,-0.121393,0.986828,172.506,-7.066,-1.863802,-0.358264,-0.128610,1.902275,190.876,-3.877,18.5698
2018-07-01T00:00:00,0.812163,-0.548530,-0.122209,0.987638,325.964,-7.108,1.828079,-0.511331,-0.129799,1.902677,344.373,-3.912,18.5971
2018-07-01T12:00:00,-0.481922,0.854210,-0.123016,0.988461,119.434,-7.149,-1.407942,1.273699,-0.130978,1.903094,137.870,-3.947,18.6238
2018-07-02T00:00:00,0.049600,-0.980263,-0.123814,0.989296,272.894,-7.190,0.691602,-1.768511,-0.132147,1.903525,291.357,-3.981,18.6499
2018-07-02T12:00:00,0.393823,0.899867,-0.124602,0.990143,66.366,-7.230,0.170427,1.891637,-0.133307,1.903972,84.854,-4.015,18.6753
2018-07-03T00:00:00,-0.754907,-0.629666,-0.125381,0.991001,219.827,-7.269,-0.996953,-1.617056,-0.134456,1.904432,238.342,-4.049,18.7002
2018-07-03T12:00:00,0.957430,0.226328,-0.126150,0.991872,13.300,-7.307,1.614182,1.002350,-0.135594,1.904908,31.840,-4.082,18.7243
2018-07-04T00:00:00,-0.958475,0.225346,-0.126909,0.992754,166.774,-7.345,-1.892261,-0.176630,-0.136723,1.905398,185.328,-4.115,18.748
2018-07-04T12:00:00,0.757516,-0.630245,-0.127659,0.993648,320.239,-7.382,1.772588,-0.686585,-0.137841,1.905903,338.826,-4.148,18.7709
2018-07-05T00:00:00,-0.396590,0.902977,-0.128400,0.994554,113.715,-7.418,-1.280157,1.405823,-0.138949,1.906423,132.325,-4.180,18.7931
2018-07-05T12:00:00,-0.048504,-0.985867,-0.129130,0.995470,267.181,-7.454,0.518336,-1.829809,-0.140047,1.906957,285.814,-4.212,18.8147
2018-07-06T00:00:00,0.484116,0.861151,-0.129851,0.996399,60.658,-7.488,0.352830,1.869270,-0.141134,1.907506,79.313,-4.243,18.8356
2018-07-06T12:00:00,-0.818454,-0.554769,-0.130563,0.997338,214.126,-7.522,-1.150242,-1.515734,-0.142210,1.908069,232.803,-4.274,18.856
2018-07-07T00:00:00,0.980916,0.130975,-0.131264,0.998289,7.606,-7.556,1.706221,0.843336,-0.143276,1.908647,26.303,-4.305,18.8756
2018-07-07T12:00:00,-0.936991,0.321147,-0.131956,0.999250,161.086,-7.589,-1.903765,0.006720,-0.144331,1.909240,179.803,-4.336,18.8945
2018-07-08T00:00:00,0.695590,-0.706405,-0.132638,1.000223,314.557,-7.621,1.701161,-0.855821,-0.145376,1.909847,333.293,-4.366,18.9127
2018-07-08T12:00:00,-0.307224,0.943533,-0.133310,1.001206,108.039,-7.652,-1.140795,1.525464,-0.146410,1.910468,126.794,-4.395,18.9303
2018-07-09T00:00:00,-0.146556,-0.982333,-0.133972,1.002200,261.512,-7.682,0.340273,-1.874779,-0.147433,1.911104,280.285,-4.425,18.9472
2018-07-09T12:00:00,0.570292,0.814287,-0.134625,1.003205,54.996,-7.712,0.532252,1.830157,-0.148446,1.911754,73.787,-4.454,18.9634
2018-07-10T00:00:00,-0.874690,-0.474423,-0.135268,1.004220,208.470,-7.741,-1.293404,-1.400755,-0.149447,1.912418,227.278,-4.482,18.9789
2018-07-10T12:00:00,0.995436,0.034007,-0.135900,1.005245,1.957,-7.770,1.783115,0.676615,-0.150438,1.913096,20.780,-4.510,18.9937
2018-07-11T00:00:00,-0.906772,0.414399,-0.136523,1.006281,155.444,-7.798,-1.898283,0.190220,-0.151417,1.913789,174.283,-4.538,19.0078
2018-07-11T12:00:00,0.626988,-0.776394,-0.137136,1.007327,308.922,-7.825,1.614470,-1.017624,-0.152386,1.914496,327.775,-4.565,19.0212
2018-07-12T00:00:00,-0.214640,0.975599,-0.137739,1.008383,102.411,-7.851,-0.991085,1.631652,-0.153343,1.915216,121.279,-4.592,19.0339
2018-07-12T12:00:00,-0.243704,-0.969773,-0.138332,1.009449,255.891,-7.877,0.158944,-1.903103,-0.154290,1.915951,274.772,-4.619,19.0459
2018-07-13T00:00:00,0.651639,0.759756,-0.138915,1.010525,49.382,-7.902,0.707180,1.774694,-0.155225,1.916700,68.276,-4.645,19.0573
2018-07-13T12:00:00,-0.923194,-0.389373,-0.139489,1.011610,202.864,-7.926,-1.425261,-1.273150,-0.156150,1.917462,221.770,-4.671,19.0678
2018-07-14T00:00:00,1.000948,-0.063722,-0.140052,1.012705,356.357,-7.949,1.844268,0.503632,-0.157063,1.918238,15.274,-4.697,19.0777
2018-07-14T12:00:00,-0.868160,0.504321,-0.140605,1.013810,149.852,-7.972,-1.875927,0.372309,-0.157965,1.919029,168.780,-4.722,19.0869
2018-07-15T00:00:00,0.552366,-0.839667,-0.141148,1.014924,303.337,-7.994,1.513310,-1.170647,-0.158856,1.919832,322.275,-4.746,19.0953
2018-07-15T12:00:00,-0.119663,0.998980,-0.141682,1.016048,96.834,-8.016,-0.832342,1.723540,-0.159735,1.920650,115.781,-4.771,19.1031
2018-07-16T00:00:00,-0.339123,-0.948383,-0.142205,1.017181,250.321,-8.037,-0.024095,-1.914606,-0.160603,1.921482,269.276,-4.795,19.1102
2018-07-16T12:00:00,0.727507,0.698101,-0.142718,1.018322,43.820,-8.057,0.876144,1.703421,-0.161460,1.922327,62.783,-4.818,19.1165
2018-07-17T00:00:00,-0.963628,-0.300391,-0.143222,1.019473,197.309,-8.076,-1.544738,-1.134056,-0.162306,1.923186,216.280,-4.841,19.1222
2018-07-17T12:00:00,0.997495,-0.161373,-0.143715,1.020633,350.810,-8.095,1.889228,0.325887,-0.163140,1.924058,9.787,-4.864,19.1271
2018-07-18T00:00:00,-0.821567,0.590180,-0.144198,1.021801,144.312,-8.113,-1.836964,0.551444,-0.163963,1.924945,163.295,-4.886,19.1314
2018-07-18T12:00:00,0.472417,-0.895755,-0.144671,1.022978,297.805,-8.130,1.398608,-1.313630,-0.164775,1.925845,316.793,-4.908,19.1349
2018-07-19T00:00:00,-0.023123,1.013564,-0.145135,1.024164,91.310,-8.147,-0.665957,1.800412,-0.165575,1.926758,110.302,-4.930,19.1378
2018-07-19T12:00:00,-0.432024,-0.918432,-0.145588,1.025358,244.805,-8.163,-0.207284,-1.909275,-0.166364,1.927686,263.801,-4.951,19.1398
2018-07-20T00:00:00,0.797314,0.629913,-0.146031,1.026560,38.311,-8.178,1.037744,1.617020,-0.167141,1.928627,57.311,-4.972,19.1413
2018-07-20T12:00:00,-0.995733,-0.208268,-0.146465,1.027770,191.809,-8.193,-1.650890,-0.984711,-0.167907,1.929582,210.811,-4.992,19.142
2018-07-21T00:00:00,0.985197,-0.258127,-0.146888,1.028989,345.318,-8.207,1.917702,0.144905,-0.168661,1.930551,4.321,-5.012,19.142
2018-07-21T12:00:00,-0.767466,0.671299,-0.147301,1.030216,138.828,-8.221,-1.781811,0.726134,-0.169404,1.931533,157.832,-5.032,19.1413
2018-07-22T00:00:00,0.387865,-0.944263,-0.147705,1.031450,292.329,-8.233,1.271402,-1.445426,-0.170136,1.932529,311.334,-5.051,19.1398
2018-07-22T12:00:00,0.074159,1.019324,-0.148098,1.032692,85.841,-8.245,-0.493367,1.861711,-0.170856,1.933538,104.846,-5.070,19.1378
2018-07-23T00:00:00,-0.521661,-0.880261,-0.148482,1.033942,239.345,-8.257,-0.389089,-1.887248,-0.171564,1.934561,258.348,-5.088,19.1349
2018-07-23T12:00:00,0.860543,0.555828,-0.148855,1.035199,32.860,-8.268,1.190672,1.516300,-0.172261,1.935598,51.861,-5.106,19.1314
2018-07-24T00:00:00,-1.019334,-0.113799,-0.149219,1.036464,186.365,-8.278,-1.742910,-0.826415,-0.172946,1.936648,205.364,-5.124,19.1272
2018-07-24T12:00:00,0.964251,-0.353191,-0.149573,1.037736,339.882,-8.287,1.929548,-0.037794,-0.173620,1.937712,358.878,-5.141,19.1222
2018-07-25T00:00:00,-0.706384,0.747060,-0.149917,1.039015,133.401,-8.296,-1.711018,0.894958,-0.174282,1.938790,152.392,-5.158,19.1166
2018-07-25T12:00:00,0.299456,-0.984875,-0.150250,1.040302,286.910,-8.304,1.132816,-1.565012,-0.174932,1.939881,305.897,-5.174,19.1102
2018-07-26T00:00:00,0.171375,1.016306,-0.150575,1.041595,80.431,-8.312,-0.316029,1.907019,-0.175571,1.940985,99.412,-5.190,19.1032
2018-07-26T12:00:00,-0.607334,-0.834272,-0.150889,1.042895,233.942,-8.319,-0.568023,-1.848801,-0.176199,1.942103,252.918,-5.206,19.0954
2018-07-27T00:00:00,0.916750,0.476516,-0.151193,1.044202,27.466,-8.326,1.333725,1.402167,-0.176814,1.943234,46.434,-5.221,19.0869
2018-07-27T12:00:00,-1.034330,-0.017782,-0.151488,1.045516,180.980,-8.331,-1.820124,-0.660514,-0.177419,1.944378,199.941,-5.236,19.0778
2018-07-28T00:00:00,0.934924,-0.445813,-0.151772,1.046836,334.505,-8.336,1.924762,-0.220707,-0.178011,1.945536,353.458,-5.250,19.0679
2018-07-28T12:00:00,-0.638895,0.816908,-0.152047,1.048163,128.032,-8.341,-1.625248,1.056570,-0.178592,1.946707,146.977,-5.264,19.0573
2018-07-29T00:00:00,0.207948,-1.017349,-0.152312,1.049496,281.550,-8.345,0.984038,-1.671481,-0.179161,1.947891,300.485,-5.278,19.046
2018-07-29T12:00:00,0.267742,1.004635,-0.152568,1.050835,75.079,-8.348,-0.135411,1.936055,-0.179719,1.949088,94.004,-5.291,19.034
2018-07-30T00:00:00,-0.688397,-0.780923,-0.152814,1.052180,228.599,-8.351,-0.742652,-1.794334,-0.180265,1.950298,247.513,-5.304,19.0213
2018-07-30T12:00:00,0.965562,0.392675,-0.153050,1.053531,22.131,-8.353,1.465794,1.275615,-0.180799,1.951521,41.033,-5.316,19.008
2018-07-31T00:00:00,-1.040699,0.078996,-0.153276,1.054888,175.664,-8.355,-1.881983,-0.488388,-0.181322,1.952757,194.543,-5.328,18.9939
2018-07-31T12:00:00,0.897544,-0.535277,-0.153493,1.056251,329.188,-8.356,1.903466,-0.402357,-0.181833,1.954005,348.064,-5.340,18.9791
2018-08-01T00:00:00,-0.565611,0.880352,-0.153700,1.057620,122.724,-8.356,-1.525266,1.209706,-0.182332,1.955267,141.586,-5.351,18.9636
